"Asset_ID","Day","Health_Score"
"AC-101","1","87.5"
"AC-101","2","88"
"AC-101","3","87.5"
"AC-101","4","87.5"
"AC-101","5","87"
"AC-101","6","87"
"AC-101","7","86.5"
"AC-101","8","86"
"AC-101","9","86"
"AC-101","10","86.5"
"AC-101","11","86.5"
"AC-101","12","86"
"AC-101","13","86"
"AC-101","14","85.5"
"AC-101","15","86"
"AC-101","16","85.5"
"AC-101","17","86"
"AC-101","18","86.5"
"AC-101","19","86.5"
"AC-101","20","87"
"AC-101","21","87"
"AC-101","22","87"
"AC-101","23","87"
"AC-101","24","86.5"
"AC-101","25","87"
"AC-101","26","87"
"AC-101","27","87.5"
"AC-101","28","87"
"AC-101","29","87.5"
"AC-101","30","87.5"
"AC-102","1","85"
"AC-102","2","85"
"AC-102","3","84.5"
"AC-102","4","84.5"
"AC-102","5","85"
"AC-102","6","84.5"
"AC-102","7","84.5"
"AC-102","8","85"
"AC-102","9","85"
"AC-102","10","84.5"
"AC-102","11","84"
"AC-102","12","84.5"
"AC-102","13","84.5"
"AC-102","14","84.5"
"AC-102","15","84"
"AC-102","16","84"
"AC-102","17","83.5"
"AC-102","18","83"
"AC-102","19","83.5"
"AC-102","20","84"
"AC-102","21","83.5"
"AC-102","22","84"
"AC-102","23","84.5"
"AC-102","24","85"
"AC-102","25","85.5"
"AC-102","26","85.5"
"AC-102","27","85.5"
"AC-102","28","85.5"
"AC-102","29","86"
"AC-102","30","86.5"
"AC-103","1","88.5"
"AC-103","2","88"
"AC-103","3","87.5"
"AC-103","4","88"
"AC-103","5","87.5"
"AC-103","6","87.5"
"AC-103","7","87.5"
"AC-103","8","87.5"
"AC-103","9","87"
"AC-103","10","87.5"
"AC-103","11","87.5"
"AC-103","12","88"
"AC-103","13","88.5"
"AC-103","14","88.5"
"AC-103","15","89"
"AC-103","16","89"
"AC-103","17","89"
"AC-103","18","89.5"
"AC-103","19","89"
"AC-103","20","88.5"
"AC-103","21","88"
"AC-103","22","87.5"
"AC-103","23","88"
"AC-103","24","88"
"AC-103","25","87.5"
"AC-103","26","87.5"
"AC-103","27","87.5"
"AC-103","28","87"
"AC-103","29","87.5"
"AC-103","30","87"
"AC-104","1","94.5"
"AC-104","2","94"
"AC-104","3","93.5"
"AC-104","4","92"
"AC-104","5","90"
"AC-104","6","89"
"AC-104","7","88"
"AC-104","8","86"
"AC-104","9","84"
"AC-104","10","83.5"
"AC-104","11","81.5"
"AC-104","12","81"
"AC-104","13","80.5"
"AC-104","14","78.5"
"AC-104","15","77.5"
"AC-104","16","76.5"
"AC-104","17","76"
"AC-104","18","74.5"
"AC-104","19","73"
"AC-104","20","71.5"
"AC-104","21","71"
"AC-104","22","69"
"AC-104","23","67"
"AC-104","24","66.5"
"AC-104","25","64.5"
"AC-104","26","64"
"AC-104","27","62"
"AC-104","28","60"
"AC-104","29","58.5"
"AC-104","30","58"
"AC-105","1","91"
"AC-105","2","90.5"
"AC-105","3","88.5"
"AC-105","4","88"
"AC-105","5","86"
"AC-105","6","84.5"
"AC-105","7","82.5"
"AC-105","8","82"
"AC-105","9","81"
"AC-105","10","79.5"
"AC-105","11","78"
"AC-105","12","76"
"AC-105","13","75.5"
"AC-105","14","74"
"AC-105","15","72.5"
"AC-105","16","71"
"AC-105","17","69.5"
"AC-105","18","67.5"
"AC-105","19","67"
"AC-105","20","65"
"AC-105","21","63.5"
"AC-105","22","62.5"
"AC-105","23","61"
"AC-105","24","59.5"
"AC-105","25","57.5"
"AC-105","26","56.5"
"AC-105","27","54.5"
"AC-105","28","53"
"AC-105","29","52.5"
"AC-105","30","50.5"
